Uak/V,I/10^-10A
-1.0,-0.035
-0.5,-0.015
0.0,0.005
0.5,13.972
1.0,20.208
1.5,25.992
2.0,31.357
2.5,36.333
3.0,40.948
3.5,45.228
4.0,49.199
4.5,52.881
5.0,56.297
5.5,59.465
6.0,62.403
6.5,65.128
7.0,67.656
7.5,70.001
8.0,72.175
8.5,74.192
9.0,76.063
9.5,77.798
10.0,79.408
10.5,80.9
11.0,82.285
11.5,83.569
12.0,84.76
12.5,85.865
13.0,86.889
13.5,87.84
14.0,88.721
14.5,89.539
15.0,90.297
15.5,91.0
16.0,91.653
16.5,92.258
17.0,92.819
17.5,93.34
18.0,93.822
18.5,94.27
19.0,94.686
19.5,95.071
20.0,95.428
20.5,95.76
21.0,96.067
21.5,96.352
22.0,96.616
22.5,96.862
23.0,97.089
23.5,97.3
24.0,97.496
24.5,97.677
25.0,97.846
25.5,98.002
26.0,98.147
26.5,98.281
27.0,98.406
27.5,98.521
28.0,98.628
28.5,98.728
29.0,98.82
29.5,98.906
30.0,98.985
30.5,99.059
31.0,99.127
31.5,99.19
32.0,99.249
32.5,99.303
33.0,99.354
33.5,99.401
34.0,99.444
34.5,99.484
35.0,99.522
35.5,99.556
36.0,99.589
36.5,99.618
37.0,99.646
37.5,99.672
38.0,99.695
38.5,99.718
39.0,99.738
39.5,99.757
40.0,99.775
40.5,99.791
41.0,99.806
41.5,99.82
42.0,99.833
42.5,99.845
43.0,99.857
43.5,99.867
44.0,99.877
44.5,99.886
45.0,99.894
45.5,99.902
46.0,99.909
46.5,99.915
47.0,99.921
47.5,99.927
48.0,99.932
48.5,99.937
49.0,99.942
49.5,99.946
50.0,99.95
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
