,时间 (s),光功率(μW)
1,794.5,240.6
2,794.6,319.4
3,794.7,331.9
4,794.8,372.8
5,794.9,164.3
6,795.0,267.8
7,795.1,426.8
8,795.2,496.6
9,795.3,283.9
10,795.4,265.8
11,795.5,349.1
12,795.6,245.0
13,795.7,313.4
14,795.8,89.6
15,795.9,-48.4
16,796.0,-166.1
17,796.1,-392.2
18,796.2,-728.5
19,796.3,-985.8
20,796.4,-1000.0
21,796.5,-1000.0
22,796.6,-1000.0
23,796.7,-1000.0
24,796.8,-1000.0
25,796.9,-1000.0
26,797.0,-1000.0
27,797.1,-1000.0
28,797.2,-1000.0
29,797.3,-1000.0
30,797.4,-1000.0
31,797.5,-1000.0
32,797.6,-1000.0
33,797.7,-1000.0
34,797.8,-1000.0
35,797.9,-1000.0
36,798.0,-1000.0
37,798.1,-1000.0
38,798.2,-1000.0
39,798.3,-1000.0
40,798.4,-1000.0
41,798.5,-1000.0
42,798.6,-1000.0
43,798.7,-1000.0
44,798.8,-1000.0
45,798.9,-1000.0
46,799.0,-1000.0
47,799.1,-1000.0
48,799.2,-1000.0
49,799.3,-1000.0
50,799.4,-1000.0
51,799.5,-968.0
52,799.6,-1000.0
53,799.7,-1000.0
54,799.8,-1000.0
55,799.9,-1000.0
56,800.0,-1000.0
57,800.1,-1000.0
58,800.2,-1000.0
59,800.3,-1000.0
60,800.4,-1000.0
61,800.5,-1000.0
62,800.6,-1000.0
63,800.7,-962.4
64,800.8,-833.9
65,800.9,-1000.0
66,801.0,-1000.0
67,801.1,-1000.0
68,801.2,-1000.0
69,801.3,-1000.0
70,801.4,-894.5
71,801.5,-961.8
72,801.6,-1000.0
73,801.7,-1000.0
74,801.8,-1000.0
75,801.9,-1000.0
76,802.0,-971.6
77,802.1,-1000.0
78,802.2,-1000.0
79,802.3,-1000.0
80,802.4,-1000.0
81,802.5,-1000.0
82,802.6,-1000.0
83,802.7,-1000.0
84,802.8,-1000.0
85,802.9,-1000.0
86,803.0,-985.4
87,803.1,-1000.0
88,803.2,-1000.0
89,803.3,-1000.0
90,803.4,-832.6
91,803.5,-1000.0
92,803.6,-1000.0
93,803.7,-1000.0
94,803.8,-1000.0
95,803.9,-851.3
96,804.0,-1000.0
97,804.1,-1000.0
98,804.2,-1000.0
99,804.3,-892.9
100,804.4,-1000.0
101,804.5,-877.0
102,804.6,-1000.0
103,804.7,-1000.0
104,804.8,-1000.0
105,804.9,-832.5
106,805.0,-840.1
107,805.1,-1000.0
108,805.2,-1000.0
109,805.3,-1000.0
110,805.4,-1000.0
111,805.5,-1000.0
112,805.6,-838.5
113,805.7,-1000.0
114,805.8,-1000.0
115,805.9,-1000.0
116,806.0,-1000.0
117,806.1,-881.9
118,806.2,-1000.0
119,806.3,-1000.0
120,806.4,-1000.0
121,806.5,-1000.0
122,806.6,-1000.0
123,806.7,-1000.0
124,806.8,-1000.0
125,806.9,-939.0
126,807.0,-852.1
127,807.1,-1000.0
128,807.2,-1000.0
129,807.3,-1000.0
130,807.4,-1000.0
131,807.5,-1000.0
132,807.6,-1000.0
133,807.7,-1000.0
134,807.8,-814.9
135,807.9,-1000.0
136,808.0,-1000.0
137,808.1,-1000.0
138,808.2,-1000.0
139,808.3,-1000.0
140,808.4,-1000.0
141,808.5,-878.7
142,808.6,-809.2
143,808.7,-1000.0
144,808.8,-1000.0
145,808.9,-1000.0
146,809.0,-1000.0
147,809.1,-1000.0
148,809.2,-1000.0
149,809.3,-1000.0
150,809.4,-1000.0
151,809.5,-1000.0
152,809.6,-1000.0
153,809.7,-1000.0
154,809.8,-834.1
155,809.9,-1000.0
156,810.0,-1000.0
157,810.1,-1000.0
158,810.2,-1000.0
159,810.3,-1000.0
160,810.4,-1000.0
161,810.5,-1000.0
162,810.6,-1000.0
163,810.7,-1000.0
164,810.8,-1000.0
165,810.9,-1000.0
166,811.0,-1000.0
167,811.1,-1000.0
168,811.2,-1000.0
169,811.3,-916.3
170,811.4,-1000.0
171,811.5,-896.3
172,811.6,-1000.0
173,811.7,-1000.0
174,811.8,-829.7
175,811.9,-864.5
176,812.0,-867.8
177,812.1,-1000.0
178,812.2,-1000.0
179,812.3,-1000.0
180,812.4,-1000.0
181,812.5,-882.4
182,812.6,-1000.0
183,812.7,-1000.0
184,812.8,-1000.0
185,812.9,-1000.0
186,813.0,-1000.0
187,813.1,-1000.0
188,813.2,-1000.0
189,813.3,-1000.0
190,813.4,-1000.0
191,813.5,-1000.0
192,813.6,-1000.0
193,813.7,-1000.0
194,813.8,-1000.0
195,813.9,-1000.0
196,814.0,-1000.0
197,814.1,-1000.0
198,814.2,-1000.0
199,814.3,-1000.0
200,814.4,-1000.0
201,814.5,-1000.0
202,814.6,-1000.0
203,814.7,-1000.0
204,814.8,-1000.0
205,814.9,-1000.0
206,815.0,-1000.0
207,815.1,-1000.0
208,815.2,-1000.0
209,815.3,-1000.0
210,815.4,-1000.0
211,815.5,-1000.0
212,815.6,-1000.0
213,815.7,-812.0
214,815.8,-973.3
215,815.9,-1000.0
216,816.0,-1000.0
217,816.1,-841.7
218,816.2,-1000.0
219,816.3,-1000.0
220,816.4,-918.0
221,816.5,-1000.0
222,816.6,-808.8
223,816.7,-1000.0
224,816.8,-1000.0
225,816.9,-1000.0
226,817.0,-957.3
227,817.1,-749.0
228,817.2,-772.9
229,817.3,-553.5
230,817.4,-397.8
231,817.5,-291.0
232,817.6,-363.1
233,817.7,-346.2
234,817.8,-343.3
235,817.9,-313.4
236,818.0,-275.2
237,818.1,-308.1
238,818.2,-262.2
239,818.3,-290.8
240,818.4,-254.2
241,818.5,-274.5
242,818.6,-195.7
243,818.7,-220.0
244,818.8,-239.8
245,818.9,-207.0
246,819.0,-214.0
247,819.1,-201.7
248,819.2,-197.4
249,819.3,-176.3
250,819.4,-171.2
251,819.5,-179.0
252,819.6,-137.0
253,819.7,-158.7
254,819.8,-129.5
255,819.9,-131.0
256,820.0,-106.1
257,820.1,-116.1
258,820.2,-148.9
259,820.3,-117.1
260,820.4,-60.9
261,820.5,-90.6
262,820.6,-101.0
263,820.7,-153.2
264,820.8,-62.5
265,820.9,-63.8
266,821.0,-100.2
267,821.1,-108.0
268,821.2,-89.3
269,821.3,-55.7
270,821.4,-38.1
271,821.5,-14.8
272,821.6,18.0
273,821.7,95.3
274,821.8,64.4
275,821.9,118.6
276,822.0,49.9
277,822.1,91.5
278,822.2,58.8
279,822.3,138.1
280,822.4,174.8
281,822.5,194.3
282,822.6,124.7
283,822.7,181.5
284,822.8,236.3
285,822.9,138.8
286,823.0,181.5
287,823.1,218.8
288,823.2,201.2
289,823.3,186.3
290,823.4,242.3
291,823.5,224.9
292,823.6,203.6
293,823.7,185.1
294,823.8,219.1
295,823.9,200.0
296,824.0,205.3
297,824.1,226.1
298,824.2,243.0
299,824.3,212.3
300,824.4,225.8
301,824.5,211.8
302,824.6,185.4
303,824.7,209.9
304,824.8,246.3
305,824.9,281.9
306,825.0,241.1
307,825.1,223.4
308,825.2,309.0
309,825.3,286.7
310,825.4,193.5
311,825.5,209.9
312,825.6,232.3
313,825.7,224.8
314,825.8,230.7
315,825.9,273.1
316,826.0,224.8
317,826.1,265.6
318,826.2,223.1
319,826.3,256.2
320,826.4,252.8
321,826.5,298.5
322,826.6,171.9
323,826.7,259.4
324,826.8,307.8
325,826.9,263.2
326,827.0,272.7
327,827.1,253.9
328,827.2,227.1
329,827.3,256.3
330,827.4,265.5
331,827.5,223.1
332,827.6,257.1
333,827.7,238.3
334,827.8,253.1
335,827.9,276.3
336,828.0,203.6
337,828.1,236.4
338,828.2,201.4
339,828.3,195.4
340,828.4,209.0
341,828.5,228.5
342,828.6,269.9
343,828.7,345.1
344,828.8,309.9
345,828.9,280.5
346,829.0,359.9
347,829.1,327.7
348,829.2,202.6
349,829.3,256.4
350,829.4,238.0
351,829.5,334.2
352,829.6,212.9
353,829.7,303.8
354,829.8,265.4
355,829.9,253.0
356,830.0,239.2
357,830.1,253.0
358,830.2,221.8
359,830.3,239.2
360,830.4,232.2
361,830.5,214.5
362,830.6,215.9
363,830.7,121.2
364,830.8,85.9
365,830.9,61.4
366,831.0,103.4
367,831.1,97.7
368,831.2,57.1
369,831.3,32.3
370,831.4,-3.9
371,831.5,3.9
372,831.6,-40.3
373,831.7,-42.6
374,831.8,-85.5
375,831.9,-131.2
376,832.0,-141.3
377,832.1,-124.2
378,832.2,-160.9
379,832.3,-206.6
380,832.4,-268.5
381,832.5,-267.4
382,832.6,-312.0
383,832.7,-298.0
384,832.8,-329.6
385,832.9,-327.1
386,833.0,-346.6
387,833.1,-389.4
388,833.2,-421.7
389,833.3,-438.4
390,833.4,-431.5
